EmployeeNumber,Surname,GivenName,Gender,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit
1,Gutierrez,Molly,F,Baker,Bakery,Burnaby,Stores,32.02881569,6.018478474,36.57730606,Stores
2,Hardwick,Stephen,M,Baker,Bakery,Nanaimo,Stores,40.32090167,5.532444578,30.16507231,Stores
3,Delgado,Chester,M,Baker,Bakery,Richmond,Stores,48.82204661,4.389973118,83.80779766,Stores
4,Simon,Irene,F,Baker,Bakery,Victoria,Stores,44.59935722,3.081735738,70.02016505,Stores
5,Delvalle,Edward,M,Baker,Bakery,New Westminster,Stores,35.69787561,3.619091448,0,Stores
6,Jones,Ernie,M,Baker,Bakery,Richmond,Stores,48.44031059,2.717692452,81.83007916,Stores
7,Buford,Ralph,M,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50.75273,10.157918,60.49507152,HeadOffice
8,Lee,Gregory,M,Baker,Bakery,West Vancouver,Stores,36.2160312,4.432122862,30.07290192,Stores
9,Smith,Jerry,M,Baker,Bakery,New Westminster,Stores,58.42738025,6.940120524,181.630819,Stores
10,Beard,Robert,M,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,39.85398,13.848321,30.66440832,HeadOffice
11,Mathis,John,M,Baker,Bakery,New Westminster,Stores,46.54758052,4.872038321,28.01835332,Stores
12,Barajas,John,M,Baker,Bakery,Kamloops,Stores,15,3.793042148,0,Stores
13,Leonard,James,M,Baker,Bakery,North Vancouver,Stores,37.72801116,3.621141838,0,Stores
14,Davis,Janet,F,Baker,Bakery,Nanaimo,Stores,30.78519091,4.583328091,34.33444296,Stores
15,Bell,Thomas,M,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49.92338,4.883225,0,HeadOffice
16,Combs,Danny,M,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,42.79789,19.107198,21.65982312,HeadOffice
17,Vivanco,Anne,F,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,48.6213,9.940272,0,HeadOffice
18,Craig,Bobbie,F,Baker,Bakery,West Vancouver,Stores,41.85581217,2.559053659,55.09983109,Stores
19,Jones,Ilona,F,Baker,Bakery,New Westminster,Stores,51.00873723,5.30277286,81.59554037,Stores
20,Watkins,Jan,F,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36.91041,11.22628,94.66856131,HeadOffice
21,Callaway,Jesus,M,Baker,Bakery,Burnaby,Stores,57.90324297,3.300303735,108.3801763,Stores
22,Hammett,Josephine,F,Baker,Bakery,New Westminster,Stores,24.47030259,3.147510228,0,Stores
23,Jarman,Sandra,F,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49.51672,6.5335,67.74078948,HeadOffice
24,Butler,Jennifer,F,Baker,Bakery,Victoria,Stores,60.5955091,4.465036581,158.7045089,Stores
25,Simons,Larry,M,Baker,Bakery,Nanaimo,Stores,35.80466401,4.626920266,0,Stores
26,Mason,Penny,F,Baker,Bakery,Aldergrove,Stores,35.87338778,3.101925634,48.0170507,Stores
27,Burton,Theodore,M,Baker,Bakery,Kelowna,Stores,41.93560641,4.557230329,42.78802656,Stores
28,Hunt,Joseph,M,Baker,Bakery,Trail,Stores,35.49790596,5.174673648,34.52427221,Stores
29,Loiselle,Thomas,M,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40.02887,12.185467,59.88316464,HeadOffice
30,Nguyen,William,M,Baker,Bakery,Aldergrove,Stores,49.75658466,4.313617694,100.6740987,Stores
31,Schrupp,James,M,Baker,Bakery,Kelowna,Stores,38.11173232,3.493533521,9.522523814,Stores
32,Donaldson,Adriana,F,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,42.8715,19.006436,38.88332344,HeadOffice
33,Thompson,Felipe,M,Baker,Bakery,Quesnel,Stores,49.94274462,5.775266268,129.8357633,Stores
34,Livingston,Lester,M,Baker,Bakery,Kelowna,Stores,77,3.203849714,44.2731088,Stores
35,Ashley,Emma,F,Baker,Bakery,Cranbrook,Stores,23.74733283,2.992041355,0,Stores
36,Davis,Jeffery,M,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36.196064,18.196064,0,HeadOffice
37,Farris,Augustina,F,Baker,Bakery,Nanaimo,Stores,51.56495808,4.641869886,75.25704812,Stores
38,Colman,Katherine,F,Baker,Bakery,Nanaimo,Stores,40.41201341,6.192268184,58.97153025,Stores
39,Martin,Daniel,M,Baker,Bakery,Kelowna,Stores,52.44651862,4.29126449,134.6683839,Stores
40,Atencio,Morris,M,Baker,Bakery,Kamloops,Stores,20.02556154,4.483391669,0,Stores
41,Harrod,Gloria,F,Baker,Bakery,Abbotsford,Stores,44.60660014,4.862142071,78.34173929,Stores
42,Bell,Angelo,M,Baker,Bakery,Dawson Creek,Stores,67.08801208,2.183958352,168.9957664,Stores
43,Kelley,Virginia,F,Baker,Bakery,Burnaby,Stores,41.25328235,2.018782807,56.21994065,Stores
44,Turner,Stephen,M,Baker,Bakery,Surrey,Stores,62.05182058,5.473604647,152.6467667,Stores
45,Mortimer,Cecilia,F,Baker,Bakery,Victoria,Stores,28.07544199,5.776657666,0,Stores
46,Stutts,Belle,F,Baker,Bakery,Surrey,Stores,49.90577748,5.357402979,80.24254043,Stores
47,Bryant,John,M,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50.07982,1,78.7532824,HeadOffice
48,Nolan,John,M,Baker,Bakery,Squamish,Stores,33.80945018,5.654808747,0,Stores
49,Allison,Connie,F,Baker,Bakery,Terrace,Stores,51.60595642,3.9855896,88.91127783,Stores
50,McAllister,Greg,M,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,38.678832,20.678832,21.38553248,HeadOffice
51,Murry,Adam,M,Baker,Bakery,Burnaby,Stores,30.29765034,7.560140987,3.737100223,Stores
52,Price,David,M,Baker,Bakery,Kelowna,Stores,43.68608721,0.385746182,38.06658377,Stores
53,McCoy,Corey,M,Baker,Bakery,New Westminster,Stores,50.04741662,5.702536846,116.2269635,Stores
54,Baker,Linda,F,Baker,Bakery,Nanaimo,Stores,34.68894529,4.721105791,0,Stores
55,Shultz,Charles,M,Baker,Bakery,Abbotsford,Stores,29.32983419,3.28103742,0,Stores
56,Medina,Bonita,F,Baker,Bakery,Victoria,Stores,50.01054543,3.653801673,77.13030678,Stores
57,Houston,Harold,M,Baker,Bakery,Nanaimo,Stores,24.50853,4.796216863,0,Stores
58,Mejia,James,M,Baker,Bakery,Chilliwack,Stores,42.62840469,4.124606978,24.79287091,Stores
